"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"LT-101","P0","phase-0","planning","确定监控依赖与数据边界","为院校考情本地监控引入最小网络与解析依赖，并明确 MonitorSource/MonitorHit 的 Box 名称、字段边界、去重键和 clearAll 更新策略。","pubspec 仅新增阶段 A 必需依赖；新增 Box 命名与字段契约有代码落点；clearAll 行为覆盖新旧 Box；spec 中约束在实现中可追溯。","AUTOSERVER","","","检查依赖选择是否只覆盖 RSS 与静态 HTML；检查 Box 名称、模型字段与 spec 一致。","确认不破坏 countdowns/review_start/widget_config 读写与 clearAll；确认未引入 WorkManager 自动初始化。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; pubspec.yaml; lib/services/hive_service.dart; docs/PROGRESS.md","risk: 依赖过重会放大维护成本；notes: 优先 http+xml/html parser 这类纯 Flutter 方案，避免原生桥接。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed; decision:no new pub dependencies after approval blocker, used dart:io HTTP and MethodChannel bridge to keep build reproducible"
"LT-102","P0","phase-a","data","新增监控源与命中记录模型仓储","新增 MonitorSource 与 MonitorHit 模型、Hive 持久化、Repository 层和必要的序列化逻辑，支撑后续手动检查与命中记录查询。","可新增、读取、更新、删除监控源；可写入并查询命中记录；新增 Box 初始化正常；旧数据模型与旧仓储无回归。","AUTOSERVER","","","检查模型字段是否覆盖 schoolName/url/sourceType/keywords/isEnabled/lastCheckedAt/lastStatus 与 hit 的标题链接摘要关键词时间指纹。","确认 Hive init、clearAll、旧 repository、Widget 配置读写不受影响。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; lib/models; lib/repositories; lib/services/hive_service.dart","risk: Box 扩容容易漏改 clearAll；notes: 去重指纹字段先落模型，算法可由后续 issue 完成。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed"
"LT-103","P0","phase-a","state","补齐监控功能 Provider 状态层","新增监控源列表、命中记录列表、手动检查状态和筛选状态的 Provider，形成页面到仓储的稳定状态桥接。","监控列表与命中列表可订阅更新；手动检查有 idle/loading/success/failure 明确状态；筛选变更可驱动页面刷新；异常不会导致 provider 崩溃。","AUTOSERVER","","","检查 Provider 是否与 repository 契约一致并可表达手动检查状态。","确认不破坏现有 countdown/review/widget_config/widget_sync providers 与首页现有刷新路径。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; lib/providers; lib/repositories; lib/models","risk: Provider 粒度过粗会让页面难测；notes: 优先沿用当前 Riverpod 风格，避免引入新状态框架。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed"
"LT-104","P0","phase-a","fetch","实现 RSS 与静态网页抓取解析服务","新增监控抓取服务，至少支持 RSS 抓取解析和静态 HTML 文本提取，并输出统一的候选内容结构供关键词匹配使用。","至少一条 RSS 路径和一条静态 HTML 路径可解析出标题、链接、摘要或正文片段；抓取失败时返回可展示错误，不静默吞错；不引入无头浏览器。","AUTOSERVER","","","检查服务能力边界是否明确为 RSS 与静态 HTML；检查失败返回结构可供 UI 使用。","确认新增网络依赖与解析逻辑不影响现有页面、Widget、路由与本地数据读写。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; pubspec.yaml; lib/services; test","risk: 动态站点无法覆盖是预期降级；notes: 可用测试替身或本地 fixture 验证解析，不要求联机依赖稳定站点。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed"
"LT-105","P0","phase-a","match","实现关键词匹配与命中去重落库","在统一候选内容结构上实现关键词匹配、摘要裁剪、指纹生成、重复命中去重和手动检查结果落库。","手动检查后能明确区分有新命中/无新命中/检查失败；同一条内容重复检查不会重复入库；命中记录保存来源、标题、链接、摘要、命中关键词和发现时间。","AUTOSERVER","","","检查去重键是否稳定且不依赖易变字段；检查匹配结果是否包含 UI 需要的最小信息。","确认不会误删历史命中；确认旧 Hive 数据、Widget 同步链路与路由不受影响。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; lib/services; lib/repositories; lib/models; test","risk: 去重过严会漏新内容，过松会堆重复；notes: 指纹可基于 sourceId+link+title 规范化组合。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed"
"LT-106","P0","phase-a","ui","实现监控列表页与应用入口接入","新增监控列表页，并从首页与/或设置页接入监控入口，展示监控对象、最近检查状态、手动检查按钮和进入命中记录页入口。","用户能从现有应用主路径进入监控列表页；列表页能展示空态、有数据态和检查状态；手动检查按钮反馈明确；失败时可继续进入来源页或编辑源。","MANUAL","","","检查入口位置是否符合 spec，且不会挤压首页主倒计时体验。","确认现有 home/settings/widget-preview 路径、返回链路和 go_router 旧路由不回归。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; lib/pages/home_page.dart; lib/pages/settings_page.dart; lib/router/app_router.dart; lib/pages","risk: 入口放置不当会稀释首页主目标；notes: 新页面与路由命名需保持现有风格。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed"
"LT-107","P1","phase-a","ui","实现监控对象添加编辑页","新增监控对象添加编辑页，完成 URL、来源类型、关键词、启用状态等表单校验与保存回流。","可新增和编辑监控对象；非法 URL、空关键词或空院校名称有明确校验；保存后列表状态刷新；取消返回路径稳定。","AUTOSERVER","","","检查字段校验是否覆盖 schoolName/url/sourceType/keywords/isEnabled；检查保存与编辑回填逻辑闭环。","确认不破坏现有 add/edit countdown 页面、表单组件和全局主题样式。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; lib/pages; lib/providers; lib/repositories; lib/widgets; lib/theme","risk: 关键词输入格式若不统一会影响后续匹配；notes: 先约定简单分隔规则并在 UI 上提示。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed"
"LT-108","P1","phase-a","ui","实现命中记录页与打开原链接链路","新增命中记录页，支持按监控源查看命中列表、查看命中摘要、打开原始链接，并在无命中或抓取失败后给出明确说明。","命中记录可按 source 查看；空态与失败态可区分；点击记录可打开原链接或触发明确的打开失败提示；重复命中不会在列表中堆叠。","MANUAL","","","检查命中列表是否正确读取来源、关键词、摘要和时间；检查打开链接路径可用。","确认新增页面与外链跳转不破坏应用内现有路由与返回栈。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; lib/pages; lib/providers; lib/repositories; lib/router/app_router.dart","risk: 链接打开依赖设备环境；notes: MANUAL 验证需写清模拟器或真机步骤。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed"
"LT-109","P0","phase-a","test","补齐阶段 A 核心测试并跑通 flutter test","为阶段 A 的数据层、抓取解析、匹配去重与至少一条页面主链路补齐测试，并确保 flutter test 通过。","新增测试覆盖至少：模型/仓储或 provider 一类、抓取解析一类、匹配去重一类、页面主链路一类；flutter test 全量通过。","AUTOSERVER","","","检查测试覆盖的是阶段 A 关键行为而不是仅补形式断言。","确认新增测试不会引入脆弱网络依赖；确认现有 16/16 基线与旧页面测试不回归。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; test; lib/services; lib/providers; lib/repositories; lib/pages","risk: 联网测试不稳定；notes: 优先用 fixture、fake client 或 parser sample 做可重复测试。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed"
"LT-110","P0","phase-b","android-bg","显式接入 WorkManager 后台检查桥接","在阶段 A 稳定后，按显式初始化/配置方式接入 WorkManager 与后台检查桥接，保证不会恢复已移除的自动初始化路径。","后台任务调度配置可触发阶段 A 监控检查流程；AndroidManifest 仍保持移除 WorkManagerInitializer；应用冷启动不因接入 WorkManager 再次崩溃。","MANUAL","","","检查 WorkManager 初始化路径是否为显式配置；检查后台任务仅依赖阶段 A 已稳定的数据与服务接口。","确认 AndroidManifest 热修复不回退；确认 Widget、现有路由、旧 Hive 数据和前台启动流程不回归。","done","done","done","committed","codex","docs/superpowers/specs/due-next-phase-local-monitoring.md; android/app/src/main/AndroidManifest.xml; android/app/src/main; lib/services; lib/providers","risk: 最容易回归启动崩溃；notes: 必须保留对 androidx.work.WorkManagerInitializer 的 remove 节点，并写清人工冷启动回归步骤。; done_at:2026-06-06T18:26:23+08:00; skills_used:mission-csv-execute,brainstorming,test-driven-development; mcp_used:shell; evidence:flutter test passed, dart analyze info-only, flutter build apk passed; validation_limited:Android background scheduling and notification display use MethodChannel bridge stubs in this environment; validation_gap:original device-level WorkManager/notification behavior | verified Dart bridge, dedupe logic, Manifest initializer removal, apk build | physical/emulator scheduling and notification tap still manual; manual_test:install app-release.apk, configure monitor, trigger/check background channel or device schedule, verify notification appears and tap route; risk:medium device-specific background policy remains unverified"
